"AGS";"Technologie";"Flaechenart";"Flaechen Gruppe";"Flaechen Gruppe Name";"Verfügbarkeit"
"13073";"5G2";Wasserstraßen;30;Infrastruktur;58.36
"13073";"5G2";Wohnbaufläche;20;Gemeindefläche;85.65
"13073";LTE10;Autobahn;30;Infrastruktur;100.00
"13073";LTE10;Bahnstrecken;30;Infrastruktur;100.00
"13073";LTE10;Bundesstraßen;30;Infrastruktur;100.00
"13073";LTE10;Gewässer;20;Gemeindefläche;100.00
"13073";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13073";LTE10;Kreisstraßen;30;Infrastruktur;100.00
"13073";LTE10;Landstraßen;30;Infrastruktur;100.00
"13073";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13073";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;99.99
"13073";LTE10;Wasserstraßen;30;Infrastruktur;100.00
"13073";LTE10;Wohnbaufläche;20;Gemeindefläche;100.00
"13073";LTE2;Autobahn;30;Infrastruktur;100.00
"13073";LTE2;Bahnstrecken;30;Infrastruktur;100.00
"13073";LTE2;Bundesstraßen;30;Infrastruktur;100.00
"13073";LTE2;Gewässer;20;Gemeindefläche;100.00
"13073";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13073";LTE2;Kreisstraßen;30;Infrastruktur;100.00
"13073";LTE2;Landstraßen;30;Infrastruktur;100.00
"13073";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13073";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;99.99
"13073";LTE2;Wasserstraßen;30;Infrastruktur;100.00
"13073";LTE2;Wohnbaufläche;20;Gemeindefläche;100.00
"13073";LTE6;Autobahn;30;Infrastruktur;100.00
"13073";LTE6;Bahnstrecken;30;Infrastruktur;100.00
"13073";LTE6;Bundesstraßen;30;Infrastruktur;100.00
"13073";LTE6;Gewässer;20;Gemeindefläche;100.00
"13073";LTE6;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13073";LTE6;Kreisstraßen;30;Infrastruktur;100.00
"13073";LTE6;Landstraßen;30;Infrastruktur;100.00
"13073";LTE6;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13073";LTE6;Wald-, Wiesenflächen;20;Gemeindefläche;99.99
"13073";LTE6;Wasserstraßen;30;Infrastruktur;100.00
"13073";LTE6;Wohnbaufläche;20;Gemeindefläche;100.00
"13073";Mobil Alle;Autobahn;30;Infrastruktur;100.00
"13073";Mobil Alle;Bahnstrecken;30;Infrastruktur;100.00
"13073";Mobil Alle;Bundesstraßen;30;Infrastruktur;100.00
"13073";Mobil Alle;Gewässer;20;Gemeindefläche;100.00
"13073";Mobil Alle;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13073";Mobil Alle;Kreisstraßen;30;Infrastruktur;100.00
"13073";Mobil Alle;Landstraßen;30;Infrastruktur;100.00
"13073";Mobil Alle;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13073";Mobil Alle;Wald-, Wiesenflächen;20;Gemeindefläche;99.99
"13073";Mobil Alle;Wasserstraßen;30;Infrastruktur;100.00
"13073";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;100.00
"13074";"5G2";Autobahn;30;Infrastruktur;50.81
"13074";"5G2";Bahnstrecken;30;Infrastruktur;47.41
"13074";"5G2";Bundesstraßen;30;Infrastruktur;55.43
"13074";"5G2";Gewässer;20;Gemeindefläche;39.21
"13074";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;58.54
"13074";"5G2";Kreisstraßen;30;Infrastruktur;33.67
