AGS,year,n_rows,prev_year_max,next_year_max,dropped
07331002,2013,3,0,0,TRUE
07331002,2014,3,0,100,TRUE
07331003,2010,2,NA,0,TRUE
07331003,2011,2,0,0,TRUE
07331003,2012,2,0,0,TRUE
07331003,2013,3,0,0,TRUE
07331003,2014,3,0,100,TRUE
07331004,2010,2,NA,0,TRUE
07331004,2011,2,0,0,TRUE
07331004,2012,2,0,0,TRUE
07331004,2013,3,0,0,TRUE
07331004,2014,3,0,100,TRUE
07331005,2010,2,NA,0,TRUE
07331005,2011,2,0,0,TRUE
07331005,2012,2,0,0,TRUE
07331005,2013,3,0,0,TRUE
07331005,2014,3,0,100,TRUE
07331006,2010,2,NA,0,TRUE
07331006,2011,2,0,0,TRUE
07331006,2012,2,0,0,TRUE
07331006,2013,3,0,0,TRUE
07331006,2014,3,0,100,TRUE
07331007,2010,2,NA,0,TRUE
07331007,2011,2,0,0,TRUE
07331007,2012,2,0,0,TRUE
07331007,2013,3,0,0,TRUE
07331007,2014,3,0,100,TRUE
07331008,2010,2,NA,0,TRUE
07331008,2011,2,0,0,TRUE
07331008,2012,2,0,0,TRUE
07331008,2013,3,0,0,TRUE
07331008,2014,3,0,100,TRUE
07331009,2010,2,NA,0,TRUE
07331009,2011,2,0,0,TRUE
07331009,2012,2,0,0,TRUE
07331009,2013,3,0,0,TRUE
07331009,2014,3,0,100,TRUE
07331010,2010,2,NA,0,TRUE
07331010,2011,2,0,0,TRUE
07331010,2012,2,0,0,TRUE
07331010,2013,3,0,0,TRUE
07331010,2014,3,0,100,TRUE
07331011,2010,2,NA,0,TRUE
07331011,2011,2,0,0,TRUE
07331011,2012,2,0,0,TRUE
07331011,2013,3,0,0,TRUE
07331011,2014,3,0,100,TRUE
07331012,2010,2,NA,0,TRUE
07331012,2011,2,0,0,TRUE
07331012,2012,2,0,0,TRUE
07331012,2013,3,0,0,TRUE
07331012,2014,3,0,100,TRUE
07331014,2010,2,NA,0,TRUE
07331014,2011,2,0,0,TRUE
07331014,2012,2,0,0,TRUE
07331014,2013,3,0,0,TRUE
07331014,2014,3,0,100,TRUE
07331015,2010,2,NA,0,TRUE
07331015,2011,2,0,0,TRUE
07331015,2012,2,0,0,TRUE
07331015,2013,3,0,0,TRUE
07331015,2014,3,0,100,TRUE
07331017,2010,2,NA,0,TRUE
07331017,2011,2,0,0,TRUE
07331017,2012,2,0,0,TRUE
07331017,2013,3,0,0,TRUE
07331017,2014,3,0,100,TRUE
07331018,2010,2,NA,0,TRUE
07331018,2011,2,0,0,TRUE
07331018,2012,2,0,0,TRUE
07331018,2013,3,0,0,TRUE
07331018,2014,3,0,100,TRUE
07331019,2010,2,NA,0,TRUE
07331019,2011,2,0,0,TRUE
07331019,2012,2,0,0,TRUE
07331019,2013,3,0,0,TRUE
07331019,2014,3,0,79,TRUE
07331020,2010,2,NA,0,TRUE
07331020,2011,2,0,0,TRUE
07331020,2012,2,0,0,TRUE
07331020,2013,3,0,0,TRUE
07331020,2014,3,0,100,TRUE
07331021,2010,2,NA,0,TRUE
07331021,2011,2,0,0,TRUE
07331021,2012,2,0,0,TRUE
07331021,2013,3,0,0,TRUE
07331021,2014,3,0,100,TRUE
07331022,2010,2,NA,0,TRUE
07331022,2011,2,0,0,TRUE
07331022,2012,2,0,0,TRUE
07331022,2013,3,0,0,TRUE
07331022,2014,3,0,100,TRUE
07331023,2010,2,NA,0,TRUE
07331023,2011,2,0,0,TRUE
07331023,2012,2,0,0,TRUE
07331023,2013,3,0,0,TRUE
07331023,2014,3,0,98.82,TRUE
07331024,2010,2,NA,0,TRUE
07331024,2011,2,0,0,TRUE
07331024,2012,2,0,0,TRUE
07331024,2013,3,0,0,TRUE
07331024,2014,3,0,100,TRUE
07331025,2010,2,NA,0,TRUE
07331025,2011,2,0,0,TRUE
07331025,2012,2,0,0,TRUE
07331025,2013,3,0,0,TRUE
07331025,2014,3,0,100,TRUE
07331026,2010,2,NA,0,TRUE
07331026,2011,2,0,0,TRUE
07331026,2012,2,0,0,TRUE
07331026,2013,3,0,0,TRUE
07331026,2014,3,0,100,TRUE
07331027,2010,2,NA,0,TRUE
07331027,2011,2,0,0,TRUE
07331027,2012,2,0,0,TRUE
