AGS;100_1;100_2;100_6;100_16;100_30;100_50;200_1;200_2;200_6;200_16;200_30;200_50
13072117;97;97;97;85;61;43;100;100;100;0;0;0
01062045;97;97;97;93;92;89;100;100;100;0;0;0
03352002;61;61;60;58;52;16;99;99;99;0;0;0
05966008;91;84;58;43;43;42;96;95;94;0;0;0
03154025;97;97;97;95;95;95;100;100;100;0;0;0
07232114;99;99;94;81;21;12;94;94;94;0;0;0
07340003;99;98;97;97;97;97;85;85;85;0;0;0
09471172;99;99;99;98;91;33;98;98;95;0;0;0
01060066;99;99;97;97;97;96;100;100;91;0;0;0
07331001;99;98;96;96;96;96;100;100;100;0;0;0
08315107;100;100;100;100;89;35;100;100;100;0;0;0
01053041;99;99;99;99;99;98;100;100;100;0;0;0
09778127;99;98;94;91;87;81;98;98;98;92;0;0
09472180;90;81;65;55;55;55;97;97;97;0;0;0
07133064;99;99;98;98;98;97;100;100;100;0;0;0
13076138;61;44;34;33;33;33;97;97;89;0;0;0
03355037;73;73;69;56;28;5;92;92;90;0;0;0
07143215;100;100;100;100;100;100;100;100;100;0;0;0
06634023;96;96;89;55;54;50;100;100;98;0;0;0
01053044;93;93;93;93;93;93;86;86;63;0;0;0
07232273;100;100;100;93;29;10;100;100;20;0;0;0
09183119;99;99;99;79;62;53;100;100;100;0;0;0
14521540;97;97;89;22;14;2;99;99;98;0;0;0
03257034;96;96;92;76;63;57;98;98;98;0;0;0
07141097;89;89;89;89;89;28;100;100;100;0;0;0
09271140;97;97;94;90;89;88;99;99;98;97;96;0
07132081;97;97;97;96;81;54;94;94;94;0;0;0
01053009;99;99;99;98;98;98;100;100;100;0;0;0
09474144;97;97;97;88;85;40;100;100;100;0;0;0
09776113;88;86;84;78;76;71;68;68;60;0;0;0
06535010;98;98;82;63;54;23;85;85;84;0;0;0
07336066;100;100;98;95;95;62;100;100;100;0;0;0
16061033;100;100;100;94;94;92;100;100;100;0;0;0
07233219;58;51;51;51;41;41;97;97;97;0;0;0
14729400;84;80;76;44;29;6;96;96;95;0;0;0
01053060;71;71;71;71;71;71;100;100;100;0;0;0
07338018;100;100;99;96;96;96;100;100;100;0;0;0
08125113;99;99;99;98;95;77;99;99;99;0;0;0
09477143;100;100;100;100;98;97;100;100;100;0;0;0
09271148;91;91;89;76;74;63;100;100;99;93;93;0
09772162;100;100;100;100;99;89;98;98;98;0;0;0
01058097;38;22;4;4;4;4;91;91;85;0;0;0
01060005;100;100;100;99;98;98;100;99;95;0;0;0
07133008;90;90;86;86;67;67;100;100;98;0;0;0
16075124;100;100;100;100;100;2;78;78;77;6;0;0
01057054;0;0;0;0;0;0;100;100;100;0;0;0
01055035;97;96;95;92;91;89;100;100;99;0;0;0
07134085;94;94;82;80;80;67;100;100;100;0;0;0
07143289;99;99;99;98;98;98;100;100;100;0;0;0
08226101;99;99;99;99;78;8;100;100;100;0;0;0
01061054;99;99;99;78;75;75;98;98;91;0;0;0
16063093;99;99;99;61;49;16;100;100;100;0;0;0
09477148;95;95;94;88;85;78;81;81;80;0;0;0
14522010;92;85;76;76;76;76;100;100;100;0;0;0
09571218;93;92;91;89;87;79;98;98;98;0;0;0
07337080;99;99;99;99;99;99;81;81;81;0;0;0
01056009;98;98;97;95;93;92;99;99;94;0;0;0
07233236;80;80;80;80;73;42;100;100;86;0;0;0
07140006;98;98;98;98;98;98;100;100;79;0;0;0
01061031;90;87;79;79;79;79;100;100;100;0;0;0
09189451;50;50;50;50;50;50;100;100;100;0;0;0
